iso_a3,region_id,country,income_id,gdp,population,total_waste,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,country_name,continent
MYS,East_Asia_Pacific,Malaysia,UMC,23906.265625,30228016,12982685,46,3,3,9,14,15,3,7,NA,Malaysia,Asia
POL,Europe_Central_Asia,Poland,HIC,33221.54296875,37970872,12758213,37.27,10.07,2.17,26.69,11.27,12.13,NA,0.4,NA,Poland,Europe
DZA,Middle_East_North_Africa,Algeria,UMC,11826.1650390625,40606052,12378740,54.4,1.2,2.8,0.8,9.8,16.9,12.6,1.5,NA,Algeria,Africa
COL,Latin_America,Colombia,UMC,12523.0068359375,46406648,12150120,59.58,2.35,1.1,15.74,8.4,12.83,NA,NA,NA,Colombia,South America
VEN,Latin_America,"Venezuela, RB",UMC,14269.673828125,29893080,9779093.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,Venezuela,South America
VNM,East_Asia_Pacific,Vietnam,LMC,5089.4111328125,86932496,9570300,61.9,2.18,0.58,15.18,5.2,12.15,0.6,3.74,NA,Vietnam,Asia
TZA,Sub-Saharan_Africa,Tanzania,LIC,2128.553955078125,49082996,9276995,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tanzania,Africa
NLD,Europe_Central_Asia,Netherlands,HIC,56849.375,17332850,8805088,35,5.4,4.3,20.24,21,14,NA,NA,NA,Netherlands,Europe
PER,Latin_America,Peru,UMC,11877.083984375,30973354,8356711.13,50.43,3.05,2.64,21.7,7.44,10.52,1.25,NA,2.97,Peru,South America
TWN,East_Asia_Pacific,NA,HIC,57362.92578125,23434000,7336000,23.34,4.11,3.07,14.11,30.01,20.23,0.6,NA,4.43,Taiwan,Asia
UGA,Sub-Saharan_Africa,Uganda,LIC,1972.3017578125,35093648,7045049.836,74.5,0.8,0.6,10.6,6,7.6,NA,NA,NA,Uganda,Africa
MAR,Middle_East_North_Africa,Morocco,LMC,6915.10302734375,34318080,6852000,60,2,2.5,6,9,8,NA,NA,NA,Morocco,Africa
ETH,Sub-Saharan_Africa,Ethiopia,LIC,1779.083984375,99873032,6532786.97,87.6,0.8,1.2,4.4,3.8,2.3,NA,NA,NA,Ethiopia,Africa
CHL,Latin_America,Chile,HIC,20361.71484375,16829442,6517000,53.3,6.6,2.3,16,12.4,9.4,NA,NA,NA,Chile,South America
CHE,Europe_Central_Asia,Switzerland,HIC,68394.2890625,8574832,6079556,29,4,3,29,20,15,NA,NA,NA,Switzerland,Europe
HKG,East_Asia_Pacific,"Hong Kong SAR, China",HIC,57215.96875,7305700,5679816.465,35,3,2,14,22,21,NA,3,NA,Hong Kong,Asia
AFG,South_Asia,Afghanistan,LIC,2057.062255859375,34656032,5628525.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,Afghanistan,Asia
ARE,Middle_East_North_Africa,United Arab Emirates,HIC,67119.1328125,9770529,5617682,39,4,3,10,25,19,NA,NA,NA,United Arab Emirates,Asia
GRC,Europe_Central_Asia,Greece,HIC,30465.44921875,10716322,5615352.5,40,3,3,9,29,14,2,NA,NA,Greece,Europe
KEN,Sub-Saharan_Africa,Kenya,LMC,3329.8544921875,41350152,5595099,57,3,1,9,11.3,18.7,NA,NA,NA,Kenya,Africa
ROU,Europe_Central_Asia,Romania,UMC,29983.556640625,19356544,5419832.5,56.26,4.89,2.5,10.68,11.34,12.33,NA,2,NA,Romania,Europe
ISR,Middle_East_North_Africa,Israel,HIC,37687.74609375,8380100,5400000,34,3,3,16,24,18,NA,NA,2,Israel,Asia
CZE,Europe_Central_Asia,Czech Republic,HIC,40836.328125,10669709,5334854.5,62.3,2.4,8.4,14.899999999999997,9.1,2.2,NA,0.7,NA,Czech Republic,Europe
ECU,Latin_America,Ecuador,UMC,11896.376953125,16144368,5297211.142533937,58.67,3.01,1.53,13.78,10.25,11.44,0.45,0.86,NA,Ecuador,South America
PRT,Europe_Central_Asia,Portugal,HIC,34961.9453125,10269417,5268211,36.49,6.73,1.85,27.680000000000003,13.64,10.72,NA,0.93,1.94,Portugal,Europe
AUT,Europe_Central_Asia,Austria,HIC,56029.61328125,8877067,5219715.5,31.4,7,4.4,18.5,19.7,11.1,NA,7.9,NA,Austria,Europe
DNK,Europe_Central_Asia,Denmark,HIC,57821.19921875,5818553,4910858.5,12.78,5.78,6.29,23.86,11.57,1.61,0,7.65,30.46,Denmark,Europe
YEM,Middle_East_North_Africa,"Yemen, Rep.",LIC,8269.671875,27584212,4836820,65,1,6,6,7,10,1,3,1,Yemen,Asia
BEL,Europe_Central_Asia,Belgium,HIC,51914.9140625,11484055,4765883,14.18,3.1,1.91,40.14,18.38,13.94,NA,2.37,5.84,Belgium,Europe
MMR,East_Asia_Pacific,Myanmar,LMC,1093.7880859375,46095464,4677306.52914,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myanmar,Asia
KAZ,Europe_Central_Asia,Kazakhstan,UMC,22702.580078125,16791424,4659740,30,5,3,7,25,25,NA,2.5,NA,Kazakhstan,Asia
SWE,Europe_Central_Asia,Sweden,HIC,52608.7109375,10285453,4618168.5,23.34,9.15,9.2,NA,36.4,6.58,NA,NA,15.33,Sweden,Europe
SYR,Middle_East_North_Africa,Syrian Arab Republic,LIC,8587.05078125,20824892,4500000,57,3,4,22,7,7,NA,NA,NA,Syria,Asia
CIV,Sub-Saharan_Africa,Côte d’Ivoire,LMC,3660.90283203125,20401332,4440814.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,Côte d'Ivoire,Africa
RWA,Sub-Saharan_Africa,Rwanda,LIC,1950.528076171875,11917508,4384969,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rwanda,Africa
BLR,Europe_Central_Asia,Belarus,UMC,18307.51953125,9489616,4280000,30,8,2,35,5,12,6,2,NA,Belarus,Europe
AGO,Sub-Saharan_Africa,Angola,LMC,8036.6904296875,25096150,4213643.585,51.8,6.7,4.4,11.5,11.9,13.5,NA,NA,NA,Angola,Africa
PRI,Latin_America,Puerto Rico,HIC,34311.03125,3473181,4170953,13.1,2.4,10.4,23.8,19.4,10.4,NA,NA,20.5,Puerto Rico,North America
NOR,Europe_Central_Asia,Norway,HIC,64962.26171875,5347896,4149967.25,15.49,4.6,6.12,13.15,26.57,2.25,NA,17.21,14.68,Norway,Europe
DOM,Latin_America,Dominican Republic,UMC,15328.3525390625,10528394,4063910,51,6,3,10,16,10,NA,4,NA,Dominican Republic,North America
UZB,Europe_Central_Asia,Uzbekistan,LMC,5164.2744140625,29774500,4000000,40,3,2,17.5,17.5,2.5,1.5,4,NA,Uzbekistan,Asia
MDA,Europe_Central_Asia,Moldova,LMC,10360.830078125,3554108,3981200,55,4,3,23,5,10,NA,NA,NA,Moldova,Europe
HUN,Europe_Central_Asia,Hungary,HIC,32643.490234375,9769949,3780970.25,22.5,3.5,1.8,45.9,13.4,13,NA,NA,NA,Hungary,Europe
MDG,Sub-Saharan_Africa,Madagascar,LIC,1565.866943359375,24894552,3768759.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,Madagascar,Africa
GHA,Sub-Saharan_Africa,Ghana,LMC,3092.596923828125,21542008,3538274.97825,67,0,1,25,3,4,NA,NA,NA,Ghana,Africa
NZL,East_Asia_Pacific,New Zealand,HIC,41857.4765625,4692700,3405000,28,4,4.5,37,7,8,1,11,NA,New Zealand,Oceania
